match_id,reconstruction_flag,source
DATA_MISSING_12,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_13,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_14,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_15,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_16,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_17,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_18,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_19,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_20,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_21,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_22,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_23,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_24,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_25,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_26,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_27,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_28,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_29,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_30,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_31,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_32,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_33,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_34,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_35,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_36,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_37,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_38,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_39,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_40,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_41,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_42,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_43,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_44,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_45,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_46,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_47,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_48,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_49,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
DATA_MISSING_50,RECONSTRUCTED_NO_ORIGINAL_SOURCE,DATA_MISSING
